"participant";"straight";"planar_intersection";"valence";"acc";"object";"surface";"pair";"stimsuj";"badtry";"sex";"age"
"part61";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"5_part61";0;"F";33
"part61";"0";"1";1;1;"cube_c_i_rec";"cube";"rec";"6_part61";0;"F";33
"part61";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"7_part61";0;"F";33
"part61";"1";"0";0;1;"cyli_d_ni_spe1";"cyli";"spe1";"8_part61";0;"F";33
"part61";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"9_part61";0;"F";33
"part62";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"10_part62";0;"F";36
"part62";"0";"1";1;1;"cube_c_i_tri";"cube";"tri";"11_part62";0;"F";36
"part62";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"12_part62";0;"F";36
"part62";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"13_part62";0;"F";36
"part62";"0";"1";1;1;"cone_c_i_tr";"cone";"tr";"14_part62";0;"F";36
"part62";"0";"1";1;1;"cube_c_i_rec";"cube";"rec";"15_part62";0;"F";36
"part62";"0";"1";1;1;"cone_c_i_ce";"cone";"ce";"16_part62";0;"F";36
"part62";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"17_part62";0;"F";36
"part62";"0";"1";1;1;"sphe_c_i_pc";"sphe";"pc";"18_part62";0;"F";36
"part62";"0";"0";1;0;"cone_c_ni_tr";"cone";"tr";"19_part62";0;"F";36
"part62";"0";"1";1;1;"cube_c_i_car";"cube";"car";"1_part62";0;"F";36
"part62";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"20_part62";0;"F";36
"part62";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"22_part62";0;"F";36
"part62";"1";"0";0;1;"cube_d_ni_el";"cube";"el";"23_part62";0;"F";36
"part62";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"24_part62";0;"F";36
"part62";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"25_part62";0;"F";36
"part62";"1";"0";0;1;"cone_d_ni_rub";"cone";"rub";"26_part62";0;"F";36
"part62";"1";"0";0;1;"cyli_d_ni_spe1";"cyli";"spe1";"27_part62";0;"F";36
"part62";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"28_part62";0;"F";36
"part62";"1";"0";0;1;"cyli_d_ni_spl";"cyli";"spl";"29_part62";0;"F";36
"part62";"0";"1";1;1;"cyli_c_i_el";"cyli";"el";"2_part62";0;"F";36
"part62";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"5_part62";0;"F";36
"part62";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"6_part62";0;"F";36
"part62";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"7_part62";0;"F";36
"part62";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"8_part62";0;"F";36
"part62";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"9_part62";0;"F";36
