"participant";"straight";"planar_intersection";"valence";"acc";"object";"surface";"pair";"stimsuj";"badtry";"sex";"age"
"part32";"0";"0";1;0;"cube_c_ni_rec";"cube";"rec";"28_part32";0;"F";18
"part32";"1";"0";0;0;"cone_d_ni_rub";"cone";"rub";"29_part32";0;"F";18
"part32";"0";"1";1;0;"sphe_c_i_pc";"sphe";"pc";"2_part32";0;"F";18
"part32";"0";"1";1;0;"cube_c_i_car";"cube";"car";"3_part32";0;"F";18
"part32";"0";"1";0;1;"cube_c_i_tri";"cube";"tri";"4_part32";0;"F";18
"part32";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"5_part32";0;"F";18
"part32";"0";"1";1;0;"cyli_c_i_el";"cyli";"el";"6_part32";0;"F";18
"part32";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"7_part32";0;"F";18
"part32";"0";"1";0;1;"cube_c_i_rec";"cube";"rec";"8_part32";0;"F";18
"part32";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"9_part32";0;"F";18
"part33";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"10_part33";0;"M";19
"part33";"0";"1";0;1;"cube_c_i_car";"cube";"car";"11_part33";0;"M";19
"part33";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"12_part33";0;"M";19
"part33";"0";"1";0;1;"cube_c_i_tri";"cube";"tri";"13_part33";0;"M";19
"part33";"0";"1";0;1;"cube_c_i_rec";"cube";"rec";"14_part33";0;"M";19
"part33";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"15_part33";0;"M";19
"part33";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"16_part33";0;"M";19
"part33";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"17_part33";0;"M";19
"part33";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"18_part33";0;"M";19
"part33";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"19_part33";0;"M";19
"part33";"0";"1";0;1;"cyli_c_i_el";"cyli";"el";"1_part33";0;"M";19
"part33";"0";"0";1;0;"cone_c_ni_rub";"cone";"rub";"21_part33";0;"M";19
"part33";"1";"0";1;1;"cyli_d_ni_spl";"cyli";"spl";"22_part33";0;"M";19
"part33";"0";"1";0;1;"cone_c_i_tr";"cone";"tr";"23_part33";0;"M";19
"part33";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"24_part33";0;"M";19
"part33";"0";"1";1;0;"sphe_c_i_pc";"sphe";"pc";"25_part33";0;"M";19
"part33";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"27_part33";0;"M";19
"part33";"1";"0";1;1;"cone_d_ni_rub";"cone";"rub";"28_part33";0;"M";19
"part33";"0";"0";1;0;"sphe_c_ni_ca";"sphe";"ca";"29_part33";0;"M";19
"part33";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"2_part33";0;"M";19
"part33";"1";"0";0;0;"cyli_d_ni_spe1";"cyli";"spe1";"3_part33";0;"M";19
"part33";"1";"0";1;1;"cube_d_ni_el";"cube";"el";"4_part33";0;"M";19
"part33";"1";"1";0;0;"cone_d_i_bag";"cone";"bag";"5_part33";0;"M";19
"part33";"0";"1";1;0;"cone_c_i_ce";"cone";"ce";"6_part33";0;"M";19
"part33";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"7_part33";0;"M";19
"part33";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"9_part33";0;"M";19
"part34";"0";"1";1;0;"cone_c_i_tr";"cone";"tr";"10_part34";0;"F";24
"part34";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"12_part34";0;"F";24
"part34";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"13_part34";0;"F";24
"part34";"0";"0";1;0;"cone_c_ni_rub";"cone";"rub";"14_part34";0;"F";24
"part34";"0";"1";1;0;"sphe_c_i_pc";"sphe";"pc";"15_part34";0;"F";24
"part34";"0";"1";1;0;"cyli_c_i_el";"cyli";"el";"16_part34";0;"F";24
"part34";"1";"0";0;0;"cyli_d_ni_spl";"cyli";"spl";"17_part34";0;"F";24
"part34";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"18_part34";0;"F";24
"part34";"1";"0";0;0;"cone_d_ni_rub";"cone";"rub";"1_part34";0;"F";24
"part34";"1";"0";0;0;"cube_d_ni_el";"cube";"el";"20_part34";0;"F";24
"part34";"1";"0";0;0;"cyli_d_ni_spe1";"cyli";"spe1";"21_part34";0;"F";24
"part34";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"22_part34";0;"F";24
"part34";"0";"1";1;0;"cube_c_i_car";"cube";"car";"23_part34";0;"F";24
"part34";"1";"1";0;0;"cube_d_i_tri";"cube";"tri";"24_part34";0;"F";24
"part34";"0";"1";1;0;"cone_c_i_ce";"cone";"ce";"25_part34";0;"F";24
"part34";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"26_part34";0;"F";24
"part34";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"27_part34";0;"F";24
"part34";"0";"1";1;0;"cube_c_i_tri";"cube";"tri";"28_part34";0;"F";24
"part34";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"29_part34";0;"F";24
"part34";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"2_part34";0;"F";24
"part34";"0";"1";0;1;"cube_c_i_rec";"cube";"rec";"3_part34";0;"F";24
"part34";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"4_part34";0;"F";24
"part34";"0";"0";1;0;"cone_c_ni_tr";"cone";"tr";"6_part34";0;"F";24
"part34";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"7_part34";0;"F";24
"part34";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"8_part34";0;"F";24
"part34";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"9_part34";0;"F";24
"part35";"1";"1";0;0;"cube_d_i_tri";"cube";"tri";"10_part35";0;"F";25
"part35";"0";"1";0;1;"cyli_c_i_el";"cyli";"el";"11_part35";0;"F";25
"part35";"1";"0";0;0;"cyli_d_ni_spl";"cyli";"spl";"12_part35";0;"F";25
"part35";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"13_part35";0;"F";25
"part35";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"14_part35";0;"F";25
"part35";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"15_part35";0;"F";25
"part35";"1";"1";0;0;"sphe_d_i_gc";"sphe";"gc";"16_part35";0;"F";25
"part35";"1";"0";0;0;"cone_d_ni_rub";"cone";"rub";"17_part35";0;"F";25
"part35";"0";"1";0;1;"cube_c_i_tri";"cube";"tri";"18_part35";0;"F";25
"part35";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"19_part35";0;"F";25
